Product URL,name,brand name,price
https://www.ajio.com/black-scissor-leheriya-print-flared-kurta-set/p/700109705_red,Leheriya Print Flared Kurta Set,BLACK SCISSOR,1364
https://www.ajio.com/jkanji-women-embroidered-straight-kurta-set/p/466713215_purple,Women Embroidered Straight Kurta Set,Jkanji,860
https://www.ajio.com/maai-we-complete-you-floral-print-round-neck-straight-kurta/p/466641433_pink,Floral Print Round-Neck Straight Kurta,MAAI WE COMPLETE YOU,473
https://www.ajio.com/avaasa-mix-n-match-stretch-churidar-leggings/p/440535772_black,Stretch Churidar Leggings,AVAASA MIX N' MATCH,299
https://www.ajio.com/dollar-lehar-pack-of-6-women-hipster-panties/p/466965356_multi,Pack of 6 Women Hipster Panties,DOLLAR LEHAR,362
https://www.ajio.com/fable-street-livin-ankle-length-relaxed-fit-culottes/p/462044693_navy,LivIn Ankle Length Relaxed Fit Culottes,Fable Street,2021
https://www.ajio.com/shaily-stripes-straight-kurta/p/467229217_violet,Stripes Straight Kurta,SHAILY,339
https://www.ajio.com/svaraa-women-a-line-dress-with-short-sleeves/p/467095422_beige,Women A-Line Dress with Short Sleeves,SVARAA,650
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_offwhite,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/dnmx-women-mid-wash-distressed-relaxed-fit-jeans/p/443043000_mediumblue,Women Mid-Wash Distressed Relaxed Fit Jeans,DNMX,999
https://www.ajio.com/lee-cooper-women-striped-fitted-top/p/443040433_pink,Women Striped Fitted Top,LEE COOPER,1499
https://www.ajio.com/global-republic-women-printed-fit--flare-dress/p/467097470_blue,Women Printed Fit & Flare Dress,GLOBAL REPUBLIC,810
https://www.ajio.com/berrylicious-printed-straight-kurta-set/p/466915872_green,Printed Straight Kurta Set,BERRYLICIOUS,651
https://www.ajio.com/santopera-desinger-women-embroidered-straight-kurta-set-with-dupatta/p/467085788_blue,Women Embroidered Straight Kurta Set with Dupatta,SANTOPERA DESINGER,560
https://www.ajio.com/zivame-padded-wired-3-4th-coverage-strapless-bra/p/466434730_purple,Padded Wired 3/4th Coverage Strapless Bra,Zivame,270
https://www.ajio.com/leriya-fashion-women-regular-fit-floral-print-shirt/p/700069185_beige,Women Regular Fit Floral Print Shirt,LERIYA FASHION,690
https://www.ajio.com/gulmohar-jaipur-women-floral-print-fit--flare-dress-with-dupatta/p/467282230_yellow,Women Floral Print Fit & Flare Dress with Dupatta,GULMOHAR JAIPUR,810
https://www.ajio.com/pink-fort-striped-round-neck-top/p/464110153_blue,Striped Round-Neck Top,PINK FORT,1164
https://www.ajio.com/fabrange-women-regular-fit-shirt-with-spread-collar/p/467333501_olive,Women Regular Fit Shirt with Spread Collar,FABRANGE,499
https://www.ajio.com/kimayra-women-printed-straight-kurta-set/p/466748155_pink,Women Printed Straight Kurta Set,Kimayra,814
https://www.ajio.com/dnmx-women-typographic-print-regular-fit-crew-neck-t-shirt/p/443049240_purple,Women Typographic Print Regular Fit Crew-Neck T-Shirt,DNMX,249
https://www.ajio.com/dnmx-women-typographic-print-boxy-fit-crew-neck-t-shirt/p/443037320_ltgreen,Women Typographic Print Boxy Fit Crew-Neck T-Shirt,DNMX,249
https://www.ajio.com/shahveer-creation-women-printed-shirt-with-trousers/p/467260143_mustard,Women Printed Shirt with Trousers,Shahveer Creation,860
https://www.ajio.com/columbia-women-delta-ridge-down-jacket/p/466325370_purple,Women Delta Ridge Down Jacket,Columbia,9499
https://www.ajio.com/bestic-fashion-women-colourblock-hoodie-with-kangaroo-pocket/p/466679697_green,Women Colourblock Hoodie with Kangaroo Pocket,BESTIC FASHION,495
https://www.ajio.com/ahika-women-printed-straight-kurta-with-pants--dupatta/p/700066931_maroon,Women Printed Straight Kurta with Pants & Dupatta,AHIKA,1020
https://www.ajio.com/canibani-women-floral-print-straight-kurta-set/p/700048414_white,Women Floral Print Straight Kurta Set,CaniBani,1104
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_red,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/amira-s-indian-ethnic-wear-women-straight-fit-palazzos/p/467007217_cream,Women Straight Fit Palazzos,Amira's Indian Ethnic Wear,390
https://www.ajio.com/columbia-women-labyrinth-loop-jacket/p/466325401_blue,Women Labyrinth Loop Jacket,Columbia,12349
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_turquiose,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/avaasa-mix-n-match-women-foil-print-straight-kurta/p/443041299_magenta,Women Foil Print Straight Kurta,AVAASA MIX N' MATCH,799
https://www.ajio.com/mojilaa-women-embroidered-straight-kurta-set/p/467144741_bronze,Women Embroidered Straight Kurta Set,MOJILAA,4549
https://www.ajio.com/anandita-embroidered-flared-kurta/p/466444707_teal,Embroidered Flared Kurta,ANANDITA,600
https://www.ajio.com/kotty-high-rise-front-pleated-pants-/p/466192294_black,High-Rise Front-Pleated Pants ,KOTTY,360
https://www.ajio.com/fable-street-livin-high-rise-trousers-with-elasticated-waist/p/467015789_beige,LivIn High-Rise Trousers with Elasticated Waist,Fable Street,1967
